title,year,genre,plot
Interstellar,2014,Sci-Fi,"Interstellar is a science fiction film about astronauts traveling through a wormhole in search of a new home for humanity."
Titanic,1997,Romance,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
The Matrix,1999,Sci-Fi,"A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers."
Inception,2010,Action,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
The Shawshank Redemption,1994,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather,1972,Crime,"The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son."
Pulp Fiction,1994,Crime,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Forrest Gump,1994,Drama,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
Fight Club,1999,Drama,"An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more."
Avatar,2009,Action,"A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home."
